rooms,halls,size,direction,height,decoration,unit_price,price
2,1,70.69,南北,中,中,52341,370
1,1,64.06,南,低,精,71027,455
2,1,57.2,南北,低,,76923,440
2,1,86.75,东西,低,,61095,530
2,1,74.03,南北,低,精,44577,330
3,1,68.57,南北,低,,59793,410
3,1,89.79,西南,中,精,69050,620
2,1,56.89,南北,低,,76463,435
3,1,70.63,,高,,72207,510
2,1,61.98,南北,低,,81478,505
2,1,57.91,南北,中,,65619,380
2,1,76.07,东西,中,,74800,569
2,1,54.79,南,低,,67531,370
3,2,147.25,南北,高,,81494,1200
2,2,94.32,东南,中,精,58312,550
2,2,79.64,南,低,,66549,530
3,2,143.19,南北,中,,82408,1180
2,1,59.6,南北,低,,57047,340
2,1,84.73,南北,低,精,71993,610
3,2,148.91,南北,中,精,57753,860
2,1,68.68,东南,中,简,82994,570
2,1,59.22,南北,高,中,59946,355
3,1,81.75,西南,低,精,60673,496
1,1,62.56,西南,低,简,59143,370
3,1,69.66,南北,高,中,75366,525
2,1,58.25,南北,高,中,77253,450
1,1,36.16,南,中,,96239,348
2,1,50.61,东,高,简,78048,395
2,1,45.78,南北,中,,60725,278
3,1,70.17,东西,低,,59142,415
2,1,57.93,南北,中,,43501,252
2,1,53.28,南北,低,,71884,383
2,1,52.51,南,低,,68177,358
1,1,48.4,西,低,,66116,320
2,1,62.07,南北,高,简,69277,430
3,1,68.44,南北,中,简,62829,430
3,2,106.6,南北,低,精,61914,660
2,1,55.35,南,低,中,70461,390
1,1,46.84,南,中,精,70453,330
2,1,62.52,南,中,精,61900,387
3,2,136.82,南北,低,精,62125,850
2,1,89.71,南北,低,精,57853,519
2,1,55.02,南北,低,中,64522,355
2,1,55.09,南北,高,简,71701,395
2,2,116.9,南北,高,中,61591,720
2,1,76.78,南北,低,简,69028,530
3,1,70.04,,中,简,72102,505
2,1,80.49,西南,低,精,68456,551
3,2,132.29,,低,中,51402,680
2,1,57.72,南北,低,简,58905,340
2,1,56.94,南北,中,精,59712,340
3,2,172,西南,中,精,73256,1260
2,1,74.51,东西,低,精,55295,412
3,2,104.24,南,高,精,50844,530
3,2,93.72,南,高,精,52817,495
3,2,88.53,南北,中,精,71840,636
2,1,57,南北,高,简,73684,420
2,1,59.62,西南,高,精,60718,362
2,1,56.95,东南,低,简,71642,408
2,2,86.13,南北,中,中,75235,648
3,2,120.52,南北,低,精,71357,860
3,1,79.88,,低,中,79995,639
1,2,74.52,东,低,精,65486,488
2,1,74.57,西北,低,精,52970,395
2,1,88.43,东南,高,,39579,350
2,1,52.17,南,中,精,58271,304
2,1,92.5,南,低,简,70270,650
2,1,58.65,东南,高,中,70759,415
1,1,68.19,东西,高,精,59393,405
2,1,73.72,西南,低,精,78676,580
1,1,54.85,南,高,精,65269,358
4,2,213.8,南北,中,精,95884,2050
2,1,73.32,西北,低,简,44326,325
2,1,70.66,南,高,简,73592,520
2,2,110.7,东北,中,精,65492,725
2,1,79.22,东南,低,简,65640,520
2,2,110.92,西南,高,豪,50036,555
2,1,60.43,南北,低,精,67847,410
2,2,88.93,东西,低,中,60497,538
3,2,117.11,南北,高,精,39962,468
3,2,96.16,南北,中,精,65516,630
2,1,61.16,南北,高,简,54774,335
2,1,74.17,西南,高,精,57975,430
2,1,66.13,南北,高,简,65023,430
2,1,79.76,西南,中,精,48270,385
3,1,81.58,南北,中,精,71709,585
2,2,98.97,西南,低,精,53349,528
2,1,52.04,南北,中,精,61491,320
2,1,61.4,南北,低,简,60261,370
2,1,65.43,南北,中,精,88644,580
2,1,79.05,东北,中,中,59456,470
2,1,54.43,西北,高,中,69814,380
2,1,50.25,南北,低,,103483,520
2,1,61.57,南,低,精,78772,485
2,1,57.62,南北,低,,51198,295
2,1,105.78,西南,高,,70902,750
3,1,72.11,南北,高,,74886,540
1,1,43.88,东南,高,中,68368,300
2,1,54.99,东北,中,中,60920,335
3,2,135.5,南北,中,中,68635,930
2,1,141.59,东南,中,简,55795,790
2,2,144.31,南,中,,58901,850
2,1,141.5,西南,中,,58657,830
3,1,122.1,东西,低,简,54873,670
2,2,83.16,东北,低,精,56037,466
2,1,58.57,南,中,简,70002,410
1,1,38.36,南北,高,精,67779,260
2,1,56.98,南北,高,,47385,270
2,1,61.4,南北,中,,58632,360
2,2,103.3,西北,中,精,48403,500
2,1,61.99,南北,高,,51621,320
2,1,51.92,南北,低,,78968,410
2,1,71.81,,高,,72413,520
2,1,83,西南,低,,55422,460
1,1,53.82,南,低,精,43664,235
3,1,104.9,东南,中,中,62917,660
3,2,126.27,东南,低,精,59397,750
1,1,68.33,西北,中,精,54588,373
4,2,223.89,南北,低,精,90000,2015
3,1,136.05,东南,中,精,56450,768
1,1,54.44,西北,高,中,56025,305
2,1,99.35,南北,高,中,40262,400
1,1,81.74,南,中,精,63616,520
2,1,104.93,东西,高,精,55751,585
1,1,47.78,南,高,精,75345,360
3,1,124.63,南,中,精,56166,700
2,1,92.51,东南,低,精,59994,555
1,1,58.57,东西,中,精,62319,365
3,2,154.55,南北,中,精,80880,1250
3,1,144.71,南北,高,精,55283,800
2,1,88.03,西,中,精,61229,539
2,1,60.43,南北,中,简,76121,460
2,2,85.95,东北,中,精,67481,580
1,1,72.41,北,高,简,56622,410
3,1,82.89,东南,高,简,49463,410
2,1,91.38,东南,高,中,46619,426
3,2,101.34,西北,低,精,63647,645
2,1,60.91,西北,高,,73879,450
2,2,85.95,南,中,精,87260,750
3,1,77.33,南北,高,精,69831,540
1,1,54.79,北,低,中,75744,415
2,2,99.37,南北,低,精,57160,568
2,2,85.35,东西,高,精,76157,650
3,2,148.02,西南,低,精,58100,860
1,1,81.2,南,中,精,89901,730
2,2,95.87,南,高,精,68843,660
2,1,72.44,南北,低,精,82551,598
3,1,80.99,南北,中,简,92604,750
1,0,39.84,北,高,精,75050,299
1,2,71.54,北,高,中,57311,410
2,1,61.87,西南,低,中,61419,380
3,1,98.69,南北,高,精,67687,668
2,1,88.98,南北,中,中,57316,510
2,1,102.27,东南,低,精,61602,630
1,1,69.48,西北,高,精,54692,380
2,2,95.48,东北,低,精,49958,477
3,1,68.38,南北,低,,76777,525
2,1,68.67,西南,中,简,75433,518
3,2,140.69,南北,中,精,98088,1380
2,1,109.43,南,高,精,80417,880
1,1,70.86,南,高,中,81852,580
4,2,150.7,东南,低,精,69011,1040
3,1,94.4,东南,低,简,61441,580
2,1,52.52,南北,低,精,79970,420
2,1,70.7,东北,中,精,69307,490
2,1,149.06,东北,中,精,74936,1117
3,2,173.13,南北,低,精,45977,796
3,2,79.78,南北,高,精,79970,638
3,1,68.9,西北,低,简,61974,427
2,1,78.09,南北,中,精,49942,390
3,2,117.1,南北,低,精,45687,535
2,1,48.54,南北,低,中,79316,385
3,2,178.68,南北,高,精,104600,1869
3,1,90.57,,低,中,46925,425
1,1,63.9,东西,高,中,50861,325
2,1,95.67,西,高,精,72123,690
2,1,56.97,南北,低,中,64069,365
4,3,203.11,南北,高,精,74836,1520
3,1,77.68,南北,高,简,55355,430
1,1,58.61,南北,高,精,46920,275
1,1,48.08,东北,低,精,76955,370
1,1,54.86,东,低,精,56872,312
3,2,111.58,南北,高,精,44721,499
3,1,87.33,东西,中,精,55536,485
2,1,89.12,南,中,精,50494,450
2,1,54.13,南北,中,中,58193,315
1,1,44.29,南,低,中,69993,310
3,2,176.39,南北,低,精,72566,1280
2,2,101.57,西南,高,精,78271,795
2,1,54.23,南北,中,精,70072,380
1,1,58.15,南,低,中,29923,174
2,1,98.72,南北,中,精,57536,568
3,1,86.99,南北,低,精,71273,620
3,1,137.68,东南,低,精,54474,750
3,2,129.86,南,低,精,103958,1350
2,1,54.29,,低,精,77362,420
3,2,130.08,东西,中,精,57657,750
2,1,128.82,东北,中,精,76075,980
2,2,113.74,东西,高,精,76930,875
1,1,58.99,东西,中,精,66113,390
4,2,184.62,南北,低,精,82873,1530
3,1,144.13,南北,高,中,66607,960
1,1,66.31,东南,高,,67411,447
3,2,158.07,南北,中,,74650,1180
2,2,89.51,南北,高,精,94961,850
1,1,87.52,东南,低,,70270,615
2,1,108.63,南北,中,,69042,750
3,2,174.57,南北,高,,83061,1450
2,2,86.87,西南,中,,65615,570
3,2,149.81,南北,低,精,90114,1350
3,1,80.8,,高,,56931,460
2,1,108.63,南北,低,,69042,750
3,2,132.38,南北,低,,89893,1190
3,1,103.86,西北,低,精,72213,750
2,1,59.2,南北,高,精,62838,372
2,2,122.41,南北,低,,47790,585
1,1,41.34,南,高,精,62893,260
2,1,66.6,南北,高,,62462,416
2,1,65.93,南,低,,78568,518
2,1,58.45,南北,高,,78529,459
2,1,72.8,南北,低,,60440,440
2,1,51.24,南北,高,,77674,398
2,1,105.6,西南,低,,75284,795
1,1,71.8,西,高,,52646,378
2,1,72.44,南北,高,,98012,710
2,1,64.23,西南,中,,77845,500
3,1,73.2,东西,高,,59426,435
2,2,114.47,南,低,,99589,1140
3,2,141.24,南北,中,精,97918,1383
3,1,115.57,西北,中,精,65761,760
2,2,95.91,南,低,,65687,630
1,1,75.83,西,中,精,76487,580
1,1,52.8,西,高,精,91856,485
2,2,120.55,南北,高,精,63044,760
3,2,108.79,南北,高,,82728,900
2,1,68.5,南北,中,,56642,388
1,1,66.22,东北,高,,54364,360
1,1,80.38,西,低,,93307,750
3,2,121.53,东西,中,中,58833,715
2,1,86.89,东,低,,62723,545
2,1,64.04,南,高,,74953,480
4,2,240.57,南北,高,精,81057,1950
2,2,131.13,西,中,,60246,790
3,1,101.34,南北,高,,77955,790
1,1,65.98,西南,高,精,62140,410
1,1,36.1,南,低,,74792,270
3,2,146.11,南北,高,,82130,1200
1,1,62.28,东南,中,精,68240,425
3,1,131.06,西北,低,,39295,515
1,1,47.12,东西,高,,75340,355
1,1,38.26,南,低,,88866,340
1,1,40.6,西北,高,,78818,320
2,1,97.41,西南,低,,46196,450
1,1,43.19,东,低,,69924,302
1,1,53.64,东,低,精,63386,340
2,1,55.99,东西,高,,67691,379
3,1,89.81,,高,,65917,592
2,1,89.09,南,中,精,57807,515
3,1,68.74,东西,中,简,77102,530
2,1,90.45,西南,中,,51962,470
3,1,74.89,东西,低,,49406,370
2,1,56.37,,低,,46124,260
3,2,138.5,南北,低,,64982,900
2,2,98.47,东,低,,67025,660
3,2,152.41,西南,低,,55771,850
3,1,74.7,东北,高,,80321,600
2,1,61.64,南北,低,,68949,425
1,1,42.32,西南,高,精,60255,255
4,2,344.39,南北,低,简,72592,2500
3,2,118.91,东北,中,精,52981,630
2,1,50.39,南北,低,,69855,352
2,1,86.35,南北,高,精,80834,698
2,1,86.53,南北,低,精,40448,350
3,1,127.96,东北,中,,59394,760
2,2,136.72,南北,高,精,79725,1090
2,1,102.89,东,高,,88444,910
1,1,69.39,西,高,,70615,490
2,1,93.59,西南,高,,72657,680
2,1,85.14,南北,低,,93963,800
1,1,70.42,西,中,,56518,398
3,2,107.5,南北,中,,58605,630
2,1,79.6,东南,低,,68970,549
2,1,56.72,南北,中,,68759,390
1,1,43.44,东,低,,82873,360
3,2,228.7,西南,高,精,59029,1350
3,2,164.2,东南,中,,97442,1600
2,2,83.66,西南,中,精,62156,520
1,1,61.69,西,低,,70838,437
3,2,144.1,东南,低,,80500,1160
2,1,62.68,东西,低,精,77377,485
3,1,65.06,西南,高,,66861,435
1,1,58.39,南北,中,,77924,455
1,1,36.26,北,低,中,73083,265
2,1,96.06,南,低,精,85884,825
2,1,91.71,西北,低,,62152,570
2,1,72.23,东南,中,中,48872,353
2,2,130.06,西,中,精,84576,1100
2,1,89.71,东南,高,精,55178,495
2,2,136.6,西南,高,,76867,1050
1,1,49.6,南,低,,76613,380
2,1,88.56,东南,高,,67751,600
4,2,179.2,南北,低,,55246,990
3,2,172.68,南北,低,,81943,1415
3,2,146.06,南,低,精,55457,810
3,1,85.29,东北,高,,79728,680
2,1,75.54,西南,中,,71485,540
1,1,55.57,南北,低,,57585,320
1,1,65.9,东,低,精,57663,380
1,1,62.26,西北,低,,53004,330
3,1,183.27,东南,高,精,51072,936
1,1,47.5,南,低,精,98526,468
2,2,125.6,南北,低,精,66879,840
3,2,156,南北,中,,88462,1380
2,1,65.66,南北,中,简,90618,595
2,1,103.2,东,中,,51357,530
1,1,39.61,东,高,,85837,340
1,1,49.96,南,高,,57046,285
2,1,53.57,南北,低,,50401,270
2,1,102.8,东南,低,,65175,670
1,1,54.95,东,中,精,65514,360
3,2,165.39,南北,低,,72556,1200
2,1,59.55,南北,高,精,72208,430
3,2,196,南北,低,精,73980,1450
1,1,57.92,东南,高,,68715,398
2,1,85.13,东,低,,61083,520
2,2,171,西,高,,76959,1316
3,1,86.23,南北,高,,78859,680
1,1,46.51,南北,高,简,62352,290
2,1,91.65,东北,中,,61102,560
2,1,93.83,西南,中,精,61281,575
1,1,64.93,南,中,,104728,680
3,2,179.32,南北,中,,71938,1290
1,1,80.58,西,中,,103003,830
3,2,120.5,西南,低,,56432,680
2,1,60.29,南北,高,,74639,450
1,1,40.52,南,高,,64906,263
3,1,137.15,南,中,中,43383,595
2,1,63.11,南北,中,,98241,620
2,2,80.28,西北,中,,62905,505
2,2,99.79,南,低,,80168,800
2,1,118.7,南北,中,,50463,599
3,2,149.3,南北,低,,85733,1280
1,1,47.42,西南,中,,71700,340
2,2,89.46,南,高,,55891,500
2,1,83.98,西南,高,,62277,523
2,2,108.9,南北,中,,50505,550
2,1,102.8,西,中,,72763,748
2,1,80.22,西,高,,59835,480
3,1,162.8,西南,中,精,68796,1120
2,1,57,南北,中,精,74912,427
3,1,62.49,南北,低,,59209,370
1,1,67.67,南北,高,,66499,450
1,1,73.76,东,低,,84056,620
1,1,43.5,南,高,简,64368,280
3,1,86.23,东西,高,,73060,630
3,2,149.4,南北,高,精,87015,1300
2,1,99.51,西南,高,,68335,680
2,1,76.72,西北,中,,67127,515
2,1,53.99,东西,高,,69457,375
2,1,84.64,南北,低,,75024,635
2,1,78.74,南,中,,88900,700
2,1,55.08,南北,中,,72622,400
2,1,56.13,南,中,,58792,330
4,2,216.52,南北,低,精,78515,1700
2,2,120.2,西南,高,简,41597,500
2,1,54.35,南北,高,精,74885,407
2,1,92.94,东,低,,66710,620
4,2,147.78,南北,中,精,47368,700
2,1,58.53,南北,高,,64070,375
4,2,171.5,南,低,,67055,1150
2,1,50.91,南,高,简,62856,320
1,1,54.14,东,高,精,68341,370
1,1,66.68,东,高,精,74985,500
3,2,139.6,南北,高,精,62966,879
2,1,54.32,东北,低,简,59831,325
3,1,118.2,西北,低,,55838,660
1,1,44.09,北,中,精,66909,295
3,2,159.83,南北,高,中,88844,1420
2,1,95,南,中,精,78947,750
3,2,164.5,南北,中,,82675,1360
2,1,59.55,南北,高,,68850,410
3,2,120.2,,高,,64060,770
2,1,62.76,南北,低,,61345,385
3,2,135.68,南北,中,,53066,720
2,1,80,东西,中,,57500,460
2,1,70,东南,高,,75429,528
2,1,69.42,南北,高,精,57476,399
2,1,80.53,东西,低,简,52900,426
2,1,56.74,南北,高,,64857,368
1,1,43.56,南,高,,75758,330
2,1,56.81,南北,高,,75691,430
1,1,55.75,东,低,,77130,430
2,1,61.1,南北,低,简,86907,531
2,1,111,南北,中,,49550,550
3,1,74.7,东北,高,,69612,520
3,2,147.3,,低,,78751,1160
1,1,62.55,东南,高,精,66347,415
1,1,69.08,南,低,,50666,350
1,1,58.52,南,高,,63226,370
2,1,47.82,东,中,,89921,430
2,1,52.82,南,中,,77622,410
1,1,58.56,南,中,,76844,450
2,1,56.21,东西,高,,67604,380
3,1,151.63,南北,低,,72281,1096
3,1,89.53,,中,,109461,980
3,1,80.53,南北,低,简,72768,586
2,2,112.8,西南,中,,50532,570
1,1,58.5,北,低,简,71795,420
2,1,76.31,南北,高,,62901,480
3,1,81.62,南北,中,精,79637,650
1,1,56.32,东北,低,,68359,385
3,1,72.61,南北,低,,82633,600
3,1,94.8,南,低,精,63291,600
2,2,136.2,西南,中,,80029,1090
2,2,115.04,西北,低,,74757,860
2,1,58,南北,中,,53448,310
1,1,67.88,东南,高,中,63642,432
2,1,56.08,南北,高,,49037,275
2,1,105.57,东南,低,,81463,860
3,1,60.53,南北,中,,82604,500
3,1,141.02,南北,中,,78003,1100
1,1,53.94,南北,高,中,73230,395
2,2,83.29,东南,中,,66034,550
1,1,58.31,北,中,,56594,330
2,1,92.23,西北,低,,65055,600
3,1,77.94,南北,中,,70567,550
3,2,106.79,南北,低,简,52439,560
3,2,200.4,南北,低,,52395,1050
2,2,113,南北,高,中,45133,510
1,1,63.44,西,低,,59584,378
3,1,140.4,南,高,,67664,950
2,1,67.91,北,低,,71418,485
2,1,87.72,东南,高,精,60990,535
2,1,78.82,南北,高,,58361,460
2,1,91.52,东西,高,中,57583,527
2,2,100.5,南,低,中,87562,880
3,1,72.1,东西,中,精,81831,590
3,1,77.63,南北,低,,52815,410
4,2,185.12,东西,高,,82649,1530
1,0,50.27,东,高,精,63258,318
3,2,165,东北,中,精,59394,980
2,1,64.1,南北,低,,77691,498
3,1,121.21,,低,,56596,686
2,1,142.25,西,低,,49209,700
2,1,85.53,东西,高,,56121,480
2,2,88.48,南北,高,精,47468,420
1,1,84,东,高,,89286,750
2,1,63.07,南北,高,,68971,435
1,1,44.74,北,低,中,60349,270
3,2,140.76,南北,低,,77437,1090
2,1,89.73,东南,高,,73554,660
1,1,38.88,北,低,精,76132,296
3,1,121.96,,高,,54936,670
2,1,62.05,东,中,,68493,425
5,多,163.32,南北,低,精,122459,2000
3,2,157.83,南北,低,精,100108,1580
5,多,406.89,南北,中,,83561,3400
3,2,129.44,西南,中,,63350,820
2,1,92,西南,中,,59783,550
2,2,100.38,南北,中,精,65750,660
1,1,57.11,西南,高,精,60410,345
2,1,87.1,南北,高,精,97589,850
4,2,229.35,南北,低,精,56682,1300
3,2,161.44,西南,低,精,78667,1270
2,2,101.28,西,低,,58254,590
3,2,135.12,东南,中,中,59947,810
3,1,124.95,南,中,中,56823,710
3,2,148.37,东南,低,简,55267,820
3,2,156.13,南北,低,中,73657,1150
2,1,102.5,南北,高,,43805,449
3,1,72.08,南北,中,,83241,600
3,1,108.46,东北,低,,40107,435
3,2,148.27,南北,低,精,62723,930
2,1,69.65,南北,高,,53123,370
2,1,61.11,东西,低,,72001,440
3,1,102.71,,中,简,58417,600
2,2,105.57,东,低,简,49730,525
3,1,80.45,东西,高,中,68365,550
3,2,124.42,南北,中,精,65906,820
3,2,203.8,南北,低,精,85868,1750
3,2,139.63,南,低,,85225,1190
1,1,59.53,东,高,,60474,360
2,1,98.43,南北,低,,73148,720
4,2,98.86,南北,高,,61703,610
3,1,138.09,,高,,64451,890
1,1,42.36,南,高,,78612,333
2,1,53.35,南,低,中,63730,340
3,2,130.3,南北,中,精,99770,1300
3,1,67.57,西北,高,,72517,490
2,1,60.46,南北,高,,59543,360
2,1,65.84,南北,低,,53159,350
1,1,43.84,东西,低,,53604,235
4,2,145.6,南北,高,,58379,850
2,1,100.92,南,高,,79271,800
2,1,73.27,南北,低,,40944,300
4,2,287.71,南北,高,精,93427,2688
2,1,69.96,东南,高,,71469,500
3,1,75.84,南北,低,,63291,480
2,2,162.53,西南,高,,54144,880
3,1,99.9,东北,中,,54054,540
3,2,176,南北,中,,77273,1360
1,1,33.62,东,低,中,118382,398
2,1,59.49,东西,低,精,68079,405
2,1,90.86,南,低,精,70438,640
3,1,71,东北,高,中,71831,510
2,1,50.91,南北,高,中,58928,300
1,1,46.36,南北,低,精,81967,380
1,1,68.33,西北,中,精,52539,359
2,2,102.61,西南,中,中,51652,530
1,1,85.24,东,低,精,55138,470
2,1,75.1,南,中,,65246,490
1,1,49.35,西南,中,,58764,290
2,1,63.39,南北,中,精,59946,380
2,1,84.31,南,高,,58712,495
3,2,127.3,东西,低,精,64415,820
2,1,62.55,南,高,,41567,260
2,2,102.75,东南,低,,65693,675
3,1,68.76,南北,中,,75625,520
3,2,133.23,南北,中,精,71305,950
2,1,81.45,西北,中,,46532,379
2,1,73,西南,低,,76712,560
3,1,79.26,南北,中,简,70149,556
2,1,71.18,西北,低,中,64625,460
2,1,54.83,南北,高,简,57450,315
3,1,61.85,南北,低,简,67906,420
1,1,34.84,南,低,简,58840,205
3,1,97.14,南北,高,,83385,810
2,1,57.08,南北,高,,79713,455
2,2,79.53,西北,低,,52182,415
2,1,83.57,西北,中,,57198,478
2,1,90.25,南北,高,,45429,410
2,1,85.45,南,低,,102984,880
3,1,89.01,西南,中,,58982,525
1,1,58.39,北,低,,71930,420
2,1,102.27,西南,中,,67957,695
2,1,118.4,南北,低,,48142,570
2,1,113.36,南北,低,,56457,640
2,1,52.51,南北,低,精,60941,320
2,1,92.34,西南,中,精,75590,698
2,1,66.35,南北,中,精,63301,420
2,1,61.01,南,高,中,66383,405
1,1,66.94,东,高,精,67224,450
2,1,53.11,南,高,精,67784,360
2,1,55.93,南,中,简,67048,375
2,1,57.07,,高,精,64482,368
3,1,84.19,,高,精,71267,600
1,1,46.73,南,低,精,92018,430
2,2,109.79,西南,低,中,62847,690
3,1,70.32,南北,高,精,75370,530
1,1,49.22,南,高,精,75173,370
1,1,42.9,南,低,简,79953,343
2,1,58.04,东南,高,精,61165,355
1,1,40.6,南北,低,简,79803,324
3,2,139.06,南北,高,精,91327,1270
2,1,51.64,南,中,简,66809,345
3,1,84.48,西北,高,精,56818,480
2,1,88.48,南,低,精,94824,839
2,2,98.69,西南,高,中,55730,550
2,1,63.04,南,中,,52348,330
3,2,135.59,东南,高,,84815,1150
2,1,59.7,南北,低,,67839,405
2,1,63.84,东北,低,,75971,485
2,1,56.62,南北,低,,63582,360
3,2,146.6,西南,低,,51160,750
2,1,56.75,南北,高,,59912,340
1,1,44.14,南,低,,72043,318
2,1,85.35,南北,中,,75220,642
1,1,62.38,南,高,,59314,370
3,1,72.34,南北,高,精,62206,450
1,1,55.8,东北,高,,77061,430
3,1,57.43,南北,高,,87063,500
3,2,151.18,南北,低,精,85990,1300
3,2,131.13,西北,低,,49569,650
2,2,92.95,西南,中,,84992,790
1,1,41.45,南,高,中,60314,250
2,1,54.27,东,低,,73706,400
2,1,95.75,北,高,简,55352,530
1,1,44.37,南,高,,69867,310
1,1,42.97,南,高,,78892,339
3,1,73.6,东南,中,简,63859,470
1,1,49.54,南北,低,,86799,430
3,1,110.93,南北,高,,99162,1100
3,2,105.81,东南,低,精,64266,680
3,2,153.61,南北,低,中,50778,780
1,1,42.25,南北,中,,74793,316
3,1,80.74,东北,中,,76542,618
2,1,100.82,南,低,,62984,635
3,2,150.28,东南,中,精,73197,1100
1,1,56.91,南,高,精,57986,330
2,1,81.31,南,高,精,56574,460
2,1,90.99,东北,低,中,48137,438
2,1,61.16,南北,高,简,71942,440
3,1,64.44,南,中,精,61918,399
